task,cpu_quota,mem_quota,running time,overhead
1,0.6,160,156.22539199997846,2667.6451000005272
1,0.6,180,160.21765599994978,2639.812700001244
1,0.6,200,153.2694160000392,2599.3414999990136
1,0.6,220,158.07749999999942,2578.1968000000006
1,0.8,40,119.29185599998164,8988.618500000484
1,0.8,60,114.86659599999255,4798.220100000208
1,0.8,80,117.95078800001647,2487.2371999996403
1,0.8,100,115.72473599997464,2297.0210000006546
1,0.8,120,117.0246639999823,2249.3866000004346
1,0.8,140,115.5116519999865,2248.5868000003397
1,0.8,160,116.1654080000153,2181.393699999603
1,0.8,180,117.73836400003349,2297.3367999991297
1,0.8,200,115.53932399998304,2253.1203000004325
1,0.8,220,117.49722000000476,2157.3810999998386
1,1.0,40,91.19146000004548,8779.71569999886
1,1.0,60,88.71378800002276,3996.624899999461
1,1.0,80,89.03446399999666,2412.648200000035
1,1.0,100,88.61488399998052,2003.0523000004905
1,1.0,120,89.8148719999881,1970.251800000256
1,1.0,140,91.70931600005132,2874.542399998745
1,1.0,160,90.74553999998898,2097.828600000298
1,1.0,180,90.56822400001693,2090.358099999662
1,1.0,200,90.412467999995,1988.799500000141
1,1.0,220,89.04515999995056,1958.780600001205
1,1.2,40,93.77847600000678,8582.245499999772
1,1.2,60,89.03421199996956,3777.7111000007153
1,1.2,80,89.71448399999645,2412.913000000003
1,1.2,100,101.50306800002,2082.4910999995154
1,1.2,120,92.53069600003072,2111.675299999206
1,1.2,140,93.2481280000502,2116.4656999987983
1,1.2,160,90.51622799997858,1958.0238000005463
1,1.2,180,89.92695599998115,1912.960300000464
1,1.2,200,96.55890800000634,2061.91229999979
1,1.2,220,89.5311280000169,3321.472599999538
1,1.4,40,96.43744399996648,9572.834500000909
1,1.4,60,92.97844400003667,3593.836199999032
1,1.4,80,89.94151600003534,2314.140799999109
1,1.4,100,90.5073679999623,2003.851900000996
1,1.4,120,89.71444800001336,1990.5727999996543
1,1.4,140,88.5948400000052,1905.8449999998857
1,1.4,160,88.26853999999003,1958.9424000002964
1,1.4,180,88.98383200001263,1961.8629999996529
1,1.4,200,88.89222799996787,2015.72290000081
1,1.4,220,90.11072400004196,1956.2560999989955
1,1.6,40,93.42966800002614,8395.500799999354
1,1.6,60,89.52560400000948,3620.919199999776
1,1.6,80,91.81762399995932,2639.362900000947
1,1.6,100,90.3807439999946,2096.5013000001136
1,1.6,120,91.63113999995404,2022.978800001056
1,1.6,140,88.32171599999128,1897.361900000192
1,1.6,160,89.9046599999565,2110.55320000105
1,1.6,180,88.68469199995161,1945.3516000011175
1,1.6,200,89.12321999996493,1927.4787000008475
1,1.6,220,90.04850400000578,1984.0827999998965
1,1.8,40,92.20922000000428,9031.675099999802
1,1.8,60,89.87959600002796,3907.3354999993626
1,1.8,80,90.19808400000328,2455.374699999993
1,1.8,100,89.58396399997582,1952.250600000525
1,1.8,120,88.82942399999592,2054.966899999954
1,1.8,140,88.69074800000817,1943.801099999746
1,1.8,160,92.2447679999459,2051.5129000013985
1,1.8,180,87.28949199998169,2313.57820000062
1,1.8,200,89.99322800002119,1915.2104999993755
1,1.8,220,88.82195999998657,1987.410100000261
1,2.0,40,92.4215120000008,9250.783799999908
1,2.0,60,89.70361600004253,3755.365599998868
1,2.0,80,88.49679999999353,2322.261000000026
1,2.0,100,89.74906800001918,2016.92239999943
1,2.0,120,89.08653999998933,1993.47690000036
1,2.0,140,90.09239200000592,1960.8352999998715
1,2.0,160,89.12042400006612,2016.0040999983264
1,2.0,180,92.0678559999942,2017.835800000057
1,2.0,200,90.0525600000401,2096.673699998973
1,2.0,220,91.12729200001922,1923.178699999653
2,0.2,40,92.03237199995785,18736.84260000096
2,0.2,60,59.60823599998548,9920.640700000376
2,0.2,80,71.99170399995637,7327.551100001074
2,0.2,100,67.96433200004685,6067.402899999024
2,0.2,120,67.60378399994806,5881.605800001353
2,0.2,140,75.75336799993238,5869.0854000017225
2,0.2,160,75.41880799995852,6106.807400001117
2,0.2,180,75.26450800003659,5657.630599999038
2,0.2,200,63.698199999998906,5968.270699999948
2,0.2,220,63.45827599994664,5974.221200001239
2,0.4,40,34.88777600003232,9971.403899999132
2,0.4,60,38.81423200000427,5252.81179999979
